year,urbanization,sex,age_group,x,nDx,nEx
2017,Micropolitan (Nonmetro),Male,40-44,40,2712,766308
2017,Micropolitan (Nonmetro),Male,45-49,45,4059,834451
2017,Micropolitan (Nonmetro),Male,50-54,50,6536,878705
2017,Micropolitan (Nonmetro),Male,55-59,55,10668,944271
2017,Micropolitan (Nonmetro),Male,60-64,60,13973,899848
2017,Micropolitan (Nonmetro),Male,65-69,65,16380,779077
2017,Micropolitan (Nonmetro),Male,70-74,70,17849,591501
2017,Micropolitan (Nonmetro),Male,75-79,75,18672,396320
2017,Micropolitan (Nonmetro),Male,80-84,80,19287,251060
2017,Micropolitan (Nonmetro),Male,85+,85,33717,212593
2018,Micropolitan (Nonmetro),Male,1,0,1128,158036
2018,Micropolitan (Nonmetro),Male,1-4,1,244,661772
2018,Micropolitan (Nonmetro),Male,5-9,5,145,844782
2018,Micropolitan (Nonmetro),Male,10-14,10,188,883345
2018,Micropolitan (Nonmetro),Male,15-19,15,749,926592
2018,Micropolitan (Nonmetro),Male,20-24,20,1327,987721
2018,Micropolitan (Nonmetro),Male,25-29,25,1711,918888
2018,Micropolitan (Nonmetro),Male,30-34,30,1865,828742
2018,Micropolitan (Nonmetro),Male,35-39,35,2311,830033
2018,Micropolitan (Nonmetro),Male,40-44,40,2607,769023
2018,Micropolitan (Nonmetro),Male,45-49,45,4081,823501
2018,Micropolitan (Nonmetro),Male,50-54,50,6258,850562
2018,Micropolitan (Nonmetro),Male,55-59,55,10296,933370
2018,Micropolitan (Nonmetro),Male,60-64,60,14153,909448
2018,Micropolitan (Nonmetro),Male,65-69,65,16636,787863
2018,Micropolitan (Nonmetro),Male,70-74,70,18727,614391
2018,Micropolitan (Nonmetro),Male,75-79,75,19484,418324
2018,Micropolitan (Nonmetro),Male,80-84,80,19593,259624
2018,Micropolitan (Nonmetro),Male,85+,85,34067,215662
2019,Micropolitan (Nonmetro),Male,1,0,1100,155856
2019,Micropolitan (Nonmetro),Male,1-4,1,218,655266
2019,Micropolitan (Nonmetro),Male,5-9,5,136,842174
2019,Micropolitan (Nonmetro),Male,10-14,10,195,879224
2019,Micropolitan (Nonmetro),Male,15-19,15,694,921169
2019,Micropolitan (Nonmetro),Male,20-24,20,1308,975606
2019,Micropolitan (Nonmetro),Male,25-29,25,1665,918383
2019,Micropolitan (Nonmetro),Male,30-34,30,1965,838173
2019,Micropolitan (Nonmetro),Male,35-39,35,2439,831748
2019,Micropolitan (Nonmetro),Male,40-44,40,2790,776649
2019,Micropolitan (Nonmetro),Male,45-49,45,3988,807305
2019,Micropolitan (Nonmetro),Male,50-54,50,5993,828079
2019,Micropolitan (Nonmetro),Male,55-59,55,10454,924361
2019,Micropolitan (Nonmetro),Male,60-64,60,14404,912507
2019,Micropolitan (Nonmetro),Male,65-69,65,16966,800116
2019,Micropolitan (Nonmetro),Male,70-74,70,19086,640526
2019,Micropolitan (Nonmetro),Male,75-79,75,20019,431877
2019,Micropolitan (Nonmetro),Male,80-84,80,20005,267338
2019,Micropolitan (Nonmetro),Male,85+,85,33705,219959
2017,NonCore (Nonmetro),Female,1,0,665,101463
2017,NonCore (Nonmetro),Female,1-4,1,144,422050
2017,NonCore (Nonmetro),Female,5-9,5,73,548183
2017,NonCore (Nonmetro),Female,10-14,10,120,574491
2017,NonCore (Nonmetro),Female,15-19,15,273,551702
2017,NonCore (Nonmetro),Female,20-24,20,369,492268
2017,NonCore (Nonmetro),Female,25-29,25,525,507891
2017,NonCore (Nonmetro),Female,30-34,30,688,491372
2017,NonCore (Nonmetro),Female,35-39,35,877,514403
2017,NonCore (Nonmetro),Female,40-44,40,1227,498435
2017,NonCore (Nonmetro),Female,45-49,45,1931,555521
2017,NonCore (Nonmetro),Female,50-54,50,3264,624586
2017,NonCore (Nonmetro),Female,55-59,55,5111,708342
2017,NonCore (Nonmetro),Female,60-64,60,7016,701068
2017,NonCore (Nonmetro),Female,65-69,65,8524,623201
2017,NonCore (Nonmetro),Female,70-74,70,10744,503619
2017,NonCore (Nonmetro),Female,75-79,75,12480,369026
2017,NonCore (Nonmetro),Female,80-84,80,14825,261758
2017,NonCore (Nonmetro),Female,85+,85,40630,298979
2018,NonCore (Nonmetro),Female,1,0,598,98874
2018,NonCore (Nonmetro),Female,1-4,1,127,419850
2018,NonCore (Nonmetro),Female,5-9,5,74,541235
2018,NonCore (Nonmetro),Female,10-14,10,111,575948
